# Time-averaged data for fix msdDump
# TimeStep c_msdID[4]
255000 0
255015 0.0941772
255030 0.185889
255045 0.254308
255060 0.316315
255075 0.367447
255090 0.408793
255105 0.439976
255120 0.46431
255135 0.476737
255150 0.480759
255165 0.482335
255180 0.477579
255195 0.466545
255210 0.454572
255225 0.442379
255240 0.430099
255255 0.417683
255270 0.406959
255285 0.396255
255300 0.388851
255315 0.383781
255330 0.381889
255345 0.382412
255360 0.383985
255375 0.386314
255390 0.387198
255405 0.39078
255420 0.39396
255435 0.398725
255450 0.402762
255465 0.405571
255480 0.404671
255495 0.403358
255510 0.401139
255525 0.398617
255540 0.398519
255555 0.396791
255570 0.396257
255585 0.395797
255600 0.395868
255615 0.394032
255630 0.39287
255645 0.39033
255660 0.389406
255675 0.389039
255690 0.389001
255705 0.390306
255720 0.392583
255735 0.393444
255750 0.394394
255765 0.396763
255780 0.396009
255795 0.398631
255810 0.398293
255825 0.396489
255840 0.396521
255855 0.395293
255870 0.39495
255885 0.393481
255900 0.390929
255915 0.390287
255930 0.392244
255945 0.394822
255960 0.396489
255975 0.399686
255990 0.398264
256005 0.39716
256020 0.396143
256035 0.394905
256050 0.393382
256065 0.393
256080 0.393613
256095 0.395084
256110 0.396303
256125 0.399307
256140 0.39946
256155 0.401352
256170 0.401147
256185 0.399055
256200 0.398871
256215 0.397492
256230 0.399012
256245 0.399262
256260 0.398222
256275 0.396385
256290 0.394133
256305 0.393146
256320 0.393369
256335 0.395637
256350 0.395718
256365 0.396021
256380 0.397799
256395 0.399285
256410 0.400323
256425 0.401395
256440 0.401537
256455 0.4012
256470 0.400558
256485 0.399963
256500 0.399681
256515 0.398906
256530 0.398111
256545 0.395624
256560 0.3932
256575 0.393039
256590 0.391654
256605 0.390958
256620 0.388706
256635 0.386694
256650 0.386184
256665 0.389375
256680 0.39214
256695 0.394386
256710 0.395511
256725 0.394378
256740 0.394324
256755 0.39426
256770 0.394692
256785 0.390276
256800 0.388451
256815 0.38631
256830 0.388081
256845 0.389637
256860 0.389508
256875 0.391636
256890 0.395549
256905 0.399603
256920 0.403597
256935 0.404695
256950 0.40532
256965 0.405411
256980 0.404413
256995 0.403894
257010 0.402384
257025 0.400414
257040 0.399337
257055 0.399009
257070 0.397934
257085 0.396728
257100 0.395937
257115 0.3961
257130 0.398884
257145 0.403299
257160 0.406381
257175 0.40708
257190 0.405893
257205 0.403314
257220 0.401443
257235 0.399653
257250 0.397469
257265 0.397765
257280 0.396323
257295 0.396884
257310 0.396789
257325 0.396648
257340 0.397292
257355 0.396575
257370 0.395671
257385 0.39599
257400 0.393283
257415 0.392606
257430 0.39104
257445 0.388536
257460 0.385366
257475 0.382119
257490 0.380326
257505 0.38105
257520 0.384308
257535 0.388031
257550 0.389298
257565 0.390253
257580 0.390378
257595 0.389534
257610 0.390776
257625 0.391994
257640 0.394074
257655 0.397963
257670 0.399382
257685 0.395685
257700 0.391196
257715 0.391079
257730 0.388794
257745 0.38958
257760 0.389606
257775 0.389204
257790 0.389398
257805 0.388435
257820 0.389
257835 0.390745
257850 0.391778
257865 0.393969
257880 0.396325
257895 0.396562
257910 0.398373
257925 0.398894
257940 0.398448
257955 0.398458
257970 0.396541
257985 0.395816
258000 0.395205
258015 0.394086
258030 0.393574
258045 0.391733
258060 0.390059
258075 0.389579
258090 0.393353
258105 0.395433
258120 0.396836
258135 0.397869
258150 0.398846
258165 0.400618
258180 0.399637
258195 0.400948
258210 0.400993
258225 0.399551
258240 0.396404
258255 0.392564
258270 0.389694
258285 0.38844
258300 0.38812
258315 0.389292
258330 0.391495
258345 0.394064
258360 0.395154
258375 0.394814
258390 0.393688
258405 0.393268
258420 0.395327
258435 0.398298
258450 0.399852
258465 0.401304
258480 0.403367
258495 0.405524
258510 0.405398
258525 0.402749
258540 0.400847
258555 0.400314
258570 0.39939
258585 0.399759
258600 0.399741
258615 0.398463
258630 0.39899
258645 0.397736
258660 0.397284
258675 0.397693
258690 0.39899
258705 0.398679
258720 0.396872
258735 0.395473
258750 0.393984
258765 0.391177
258780 0.387362
258795 0.386853
258810 0.388496
258825 0.388858
258840 0.389573
258855 0.390854
258870 0.391678
258885 0.393824
258900 0.395097
258915 0.395025
258930 0.393887
258945 0.392001
258960 0.391864
258975 0.39448
258990 0.396062
259005 0.39704
259020 0.398327
259035 0.399122
259050 0.399376
259065 0.39865
259080 0.397738
259095 0.395698
259110 0.392815
259125 0.390536
259140 0.389033
259155 0.389864
259170 0.391113
259185 0.391612
259200 0.391756
259215 0.391608
259230 0.389412
259245 0.389835
259260 0.391863
259275 0.39342
259290 0.39633
259305 0.399863
259320 0.401134
259335 0.402454
259350 0.400241
259365 0.400189
259380 0.397013
259395 0.396291
259410 0.39563
259425 0.395005
259440 0.393693
259455 0.393146
259470 0.391665
259485 0.389629
259500 0.387742
259515 0.387862
259530 0.388452
259545 0.386297
259560 0.383935
259575 0.383145
259590 0.386487
259605 0.388307
259620 0.387847
259635 0.386221
259650 0.383303
259665 0.3821
259680 0.382254
259695 0.383134
259710 0.384779
259725 0.387628
259740 0.391167
259755 0.39388
259770 0.394381
259785 0.394413
259800 0.393453
259815 0.393958
259830 0.394603
259845 0.396187
259860 0.397306
259875 0.400191
259890 0.401152
259905 0.40029
259920 0.396676
259935 0.394815
259950 0.394407
259965 0.393994
259980 0.392735
259995 0.39333
260010 0.39458
260025 0.395401
260040 0.398034
260055 0.398854
260070 0.398646
260085 0.399202
260100 0.398919
260115 0.397775
260130 0.39795
260145 0.39751
260160 0.397253
260175 0.397093
260190 0.397511
260205 0.397415
260220 0.396733
260235 0.396112
260250 0.394832
260265 0.394637
260280 0.394159
260295 0.393783
260310 0.393214
260325 0.393905
260340 0.394366
260355 0.395183
260370 0.392814
260385 0.390725
260400 0.389398
260415 0.388745
260430 0.389614
260445 0.391662
260460 0.393419
260475 0.394067
260490 0.393968
260505 0.394895
260520 0.39807
260535 0.399284
260550 0.400763
260565 0.402934
260580 0.405365
260595 0.406719
260610 0.405559
260625 0.404209
260640 0.401409
260655 0.399949
260670 0.400367
260685 0.399388
260700 0.398207
260715 0.397092
260730 0.396591
260745 0.394938
